Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
C1,C2,C3,CC0402KRX5R6BB104,3
C4,CC0402MRX5R5BB106,1
C5,C6,CC0402MRX5R5BB475,2
D1,CLP6C-FKB-CM1Q1H1BB7R3R3,1
D2,MMSD4148,1
D3,19-217-R6C-AL1M2VY-3T,1
J1,F171-1107A0BMU01,1
Q1,MMBT3904LT1G,1
R1,R2,R3,RC1206JR-07270RL,3
R4,RC0603FR-0775KL,1
R5,R6,R7,R8,R11,R12,RC0603FR-0710KL,6
R9,RC0603FR-07330RL,1
R10,RC0603JR-072KL,1
SW1,311030001,1
U1,ADXL345BCCZ-RL,1
U2,MPR121QR2,1
U3,MCP73832T-2ACI/OT,1
USB1,10118193-0001LF,1
